RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           63     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  161  198     0     0  con    0  1.0D+00  7.4D-01  2.247D-02  2.189D+02
  162  199     0     0  con    0  1.0D+00  6.4D-01  2.092D-02  2.189D+02
  163  200     0     0  con    0  1.0D+00  4.0D+00  6.043D-03  2.189D+02
  164  201     0     0  con    0  1.0D+00  3.0D+00  2.086D-02  2.189D+02
  165  202     0     0  con    0  1.0D+00  5.0D+00  4.952D-02  2.189D+02
  166  203     0     0  con    0  1.0D+00  2.6D+00  5.432D-02  2.189D+02
  167  205     0     0  con    1  6.0D-02  7.5D+00  5.168D-02  2.189D+02
  168  207     0     0  con    1  2.9D-01  4.0D+00  6.252D-02  2.189D+02
  169  209     0     0  con    1  1.6D-01  3.0D-01  3.894D-02  2.189D+02
  170  210     0     0  con    0  1.0D+00  4.4D+00  1.814D-02  2.189D+02
  171  211     0     0  con    0  1.0D+00  4.7D+00  1.684D-03  2.189D+02
  172  213     0     0  con    1  2.4D-01  3.0D-01  5.335D-03  2.189D+02
  173  214     0     0  con    0  1.0D+00  2.9D-01  2.390D-03  2.189D+02
  174  215     0     0  con    0  1.0D+00  1.8D-01  8.523D-04  2.189D+02
  175  216     0     0  con    0  1.0D+00  4.1D-01  3.650D-03  2.189D+02
  176  217     0     0  con    0  1.0D+00  3.6D-01  7.056D-03  2.189D+02
  177  218     0     0  con    0  1.0D+00  3.0D-01  8.906D-03  2.189D+02
  178  219     0     0  con    0  1.0D+00  1.8D+00  1.333D-02  2.189D+02
  179  220     0     0  con    0  1.0D+00  6.2D-01  5.692D-03  2.189D+02
  180  221     0     0  con    0  1.0D+00  8.3D-01  9.002D-03  2.189D+02
  181  222     0     0  con    0  1.0D+00  3.4D-01  1.183D-02  2.189D+02
  182  223     0     0  con    0  1.0D+00  3.5D-01  1.743D-02  2.189D+02
  183  225     0     0  con    1  4.6D-02  1.8D-01  9.373D-03  2.189D+02
  184  226     0     0  con    0  1.0D+00  4.1D-01  5.226D-03  2.189D+02
  185  227     0     0  con    0  1.0D+00  6.3D-01  1.174D-03  2.189D+02
  186  228     0     0  con    0  1.0D+00  5.9D-01  2.504D-03  2.189D+02
  187  229     0     0  con    0  1.0D+00  9.8D-01  9.429D-03  2.189D+02
  188  230     0     0  con    0  1.0D+00  1.2D+00  1.804D-02  2.189D+02
  189  231     0     0  con    0  1.0D+00  1.4D+00  3.025D-02  2.189D+02
  190  232     0     0  con    0  1.0D+00  7.4D-01  3.935D-02  2.189D+02
  191  233     0     0  con    0  1.0D+00  1.0D+00  3.501D-02  2.189D+02
  192  235     0     0  con    1  7.8D-02  9.9D-01  3.470D-02  2.189D+02
  193  237     0     0  con    1  2.2D-02  1.7D-01  2.649D-02  2.189D+02
  194  238     0     0  con    0  1.0D+00  2.5D+00  1.606D-02  2.189D+02
  195  240     0     0  con    1  1.0D-01  1.5D-01  5.754D-04  2.189D+02
  196  241     0     0  con    0  1.0D+00  1.7D+00  4.670D-03  2.189D+02
  197  242     0     0  con    0  1.0D+00  3.1D-01  5.056D-03  2.189D+02
  198  243     0     0  con    0  1.0D+00  9.8D-01  3.586D-03  2.189D+02
  199  244     0     0  con    0  1.0D+00  1.4D-01  4.220D-03  2.189D+02
  200  246     0     0  con    1  2.2D-02  3.5D-01  6.614D-03  2.189D+02
  201  247     0     0  con    0  1.0D+00  2.5D-01  5.276D-03  2.189D+02
  202  248     0     0  con    0  1.0D+00  1.5D+00  2.295D-03  2.189D+02
  203  249     0     0  con    0  1.0D+00  1.8D+00  3.904D-04  2.189D+02
  204  250     0     0  con    0  1.0D+00  1.1D+00  3.446D-04  2.189D+02
  205  252     0     0  con    1  7.8D-03  1.4D-01  2.567D-03  2.189D+02
  206  253     0     0  con    0  1.0D+00  7.3D-01  1.811D-03  2.189D+02
  207  255     0     0  con    1  5.5D-03  1.2D-02  1.333D-03  2.189D+02

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          147     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.809D+01  3.644D+02
